year,college,department,major,quota
2014,인문과학대학,인문과학부,국어국문학 전공,Null
2014,인문과학대학,인문과학부,중어중문학 전공,Null
2014,인문과학대학,인문과학부,영어영문학 전공,Null
2014,인문과학대학,인문과학부,불어불문학 전공,Null
2014,인문과학대학,인문과학부,독어독문학 전공,Null
2014,인문과학대학,인문과학부,사학 전공,Null
2014,인문과학대학,인문과학부,철학 전공,Null
2014,인문과학대학,인문과학부 ,,433
2014,인문과학대학,기독교학부,기독교학 전공,20
2014,인문과학대학,인문과학대학 전체,,453
2014,사회과학대학,사회과학부,정치외교학 전공,Null
2014,사회과학대학,사회과학부,행정학 전공,Null
2014,사회과학대학,사회과학부,경제학 전공,Null
2014,사회과학대학,사회과학부,문헌정보학 전공,Null
2014,사회과학대학,사회과학부,사회학 전공,Null
2014,사회과학대학,사회과학부,사회복지학 전공,Null
2014,사회과학대학,사회과학부,심리학 전공,Null
2014,사회과학대학,사회과학부,소비자학 전공,Null
2014,사회과학대학,사회과학부,,337
2014,사회과학대학,언론·홍보·영상학부,언론정보학 전공,Null
2014,사회과학대학,언론·홍보·영상학부,광고·홍보학 전공,Null
2014,사회과학대학,언론·홍보·영상학부,방송·영상학 전공,Null
2014,사회과학대학,언론·홍보·영상학부,,90
2014,사회과학대학,사회과학대학 전체,,427
2014,자연과학대학,수리물리과학부,수학 전공,Null
2014,자연과학대학,수리물리과학부,통계학 전공,Null
2014,자연과학대학,수리물리과학부,물리학 전공,Null
2014,자연과학대학,수리물리과학부,,124
2014,자연과학대학,분자생명과학부,화학·나노과학전공,Null
2014,자연과학대학,분자생명과학부,생명과학전공,Null
2014,자연과학대학,분자생명과학부,,171
2014,자연과학대학,자연과학대학 전체,,295
2014,공과대학,컴퓨터공학과,,71
2014,공과대학,전자공학과,,60
2014,공과대학,건축학부,건축학 전공,Null
2014,공과대학,건축학부,건축공학 전공,Null
2014,공과대학,건축학부,,55
2014,공과대학,환경·식품공학부,환경공학 전공,Null
2014,공과대학,환경·식품공학부,식품공학 전공,Null
2014,공과대학,환경·식품공학부,,82
2014,공과대학,공과대학 전체,,268
2014,음악대학,음악학부,건반악기 전공,Null
2014,음악대학,음악학부,관현악 전공,Null
2014,음악대학,음악학부,성악 전공,Null
2014,음악대학,음악학부,작곡 전공,Null
2014,음악대학,음악학부,한국음악 전공,Null
2014,음악대학,음악학부,,198
2014,음악대학,무용과,,43
2014,음악대학,음악대학 전체,,241
2014,조형예술대학,조형예술학부,동양화 전공,Null
2014,조형예술대학,조형예술학부,서양화 전공,Null
2014,조형예술대학,조형예술학부,조소 전공,Null
2014,조형예술대학,조형예술학부,도자예술 전공,Null
2014,조형예술대학,조형예술학부,,142
2014,조형예술대학,디자인학부,공간디자인 전공,Null
2014,조형예술대학,디자인학부,시각디자인 전공,Null
2014,조형예술대학,디자인학부,산업디자인 전공,Null
2014,조형예술대학,디자인학부,영상디자인 전공,Null
2014,조형예술대학,디자인학부,,85
2014,조형예술대학,섬유·패션학부,섬유예술 전공,Null
2014,조형예술대학,섬유·패션학부,패션디자인 전공,Null
2014,조형예술대학,섬유·패션학부,의류학 전공,Null
2014,조형예술대학,섬유·패션학부,,115
2014,조형예술대학,조형예술대학 전체,,342
2014,사범대학,교육학과,,30
2014,사범대학,유아교육과,,32
2014,사범대학,초등교육과,,39
2014,사범대학,교육공학과,,36
2014,사범대학,특수교육과,유아특수교육전공,Null
2014,사범대학,특수교육과,초등특수교육전공,Null
2014,사범대학,특수교육과,중등특수교육전공,Null
2014,사범대학,특수교육과,,38
2014,사범대학,영어교육과,,42
2014,사범대학,사회과교육과,역사교육전공,Null
2014,사범대학,사회과교육과,사회교육전공,Null
2014,사범대학,사회과교육과,지리교육전공,Null
2014,사범대학,사회과교육과,,84
2014,사범대학,국어교육과,,30
2014,사범대학,과학교육과,물리교육전공,Null
2014,사범대학,과학교육과,화학교육전공,Null
2014,사범대학,과학교육과,생물교육전공,Null
2014,사범대학,과학교육과,지구과학교육전공,Null
2014,사범대학,과학교육과,,104
2014,사범대학,수학교육과,,32
2014,사범대학,사범대학 전체,,467
2014,경영대학,경영학부,경영학 전공,132
2014,경영대학,국제사무학과,,25
2014,경영대학,경영대학 전체,,157
2014,건강과학대학,간호학부,간호학전공,Null
2014,건강과학대학,간호학부,글로벌건강간호학전공,Null
2014,건강과학대학,간호학부,,78
2014,건강과학대학,체육과학부,체육과학 전공,60
2014,건강과학대학,식품영양학과,,50
2014,건강과학대학,보건관리학과,,31
2014,건강과학대학,건강과학대학 전체,,219
2014,약학대학,약학과,,120
2014,약학대학,약학대학 전체,,120
2014,스크랜튼대학,스크랜튼학부,자유전공,40
2014,스크랜튼대학,국제학부,국제학전공,80
2014,스크랜튼대학,스크랜튼대학 전체,,120
2015,인문과학대학,인문과학부,국어국문학 전공,Null
2015,인문과학대학,인문과학부,중어중문학 전공,Null
2015,인문과학대학,인문과학부,영어영문학 전공,Null
2015,인문과학대학,인문과학부,불어불문학 전공,Null
2015,인문과학대학,인문과학부,독어독문학 전공,Null
2015,인문과학대학,인문과학부,사학 전공,Null
2015,인문과학대학,인문과학부,철학 전공,Null
2015,인문과학대학,인문과학부 ,,418
2015,인문과학대학,기독교학부,기독교학 전공,20
2015,인문과학대학,인문과학대학 전체,,438
2015,사회과학대학,사회과학부,정치외교학 전공,Null
